INSTNM,CITY,STABBR,ZIP,CONTROL,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,BOOKSUPPLY,NPT4_PUB,NPT4_PRIV,PFTFAC,ADM_RATE,C100_4,MD_EARN_WNE_P6,MD_EARN_WNE_P8,MD_EARN_WNE_P10
Rasmussen University-Lake Elmo/Woodbury,Lake Elmo,MN,55042-8624,3,nan,nan,12233.0,12233.0,nan,nan,nan,nan,nan,nan,nan,32226.0,32753.0,35667.0
Rasmussen University-Blaine,Blaine,MN,55014-8624,3,nan,nan,12233.0,12233.0,nan,nan,nan,nan,nan,nan,nan,32226.0,32753.0,35667.0
Minnesota State CollegeSoutheast-Red Wing Campus,Red Wing,MN,55066,1,nan,nan,5835.0,5835.0,nan,nan,nan,nan,nan,nan,nan,36342.0,37824.0,40045.0
Copiah-Lincoln Community College Simpson County Center,Mendenhall,MS,39114,1,nan,nan,3180.0,5180.0,nan,nan,nan,nan,nan,nan,nan,24665.0,26804.0,29064.0
Copiah-Lincoln Community College-Natchez Campus,Natchez,MS,39120,1,nan,nan,3180.0,5180.0,nan,nan,nan,nan,nan,nan,nan,24665.0,26804.0,29064.0
University of Mississippi Medical Center,Jackson,MS,39216-4505,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38763.0,43237.0,48255.0
Pearl River Community College-Forrest County Center,Hattiesburg,MS,39401,1,nan,nan,3410.0,4410.0,nan,nan,nan,nan,nan,nan,nan,25695.0,27361.0,30261.0
Columbia College - Redstone Arsenal,Redstone Arsenal,AL,35898-5192,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Denver,Centennial,CO,80112-1464,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - NAS Jacksonville,Jacksonville,FL,32212-0137,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Orlando,Orlando,FL,32804-2606,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Crystal Lake Campus,Crystal Lake,IL,60012-3709,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Kansas City,Kansas City,MO,64133-1707,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Fort Leonard Wood,Fort Leonard Wood,MO,65473-1707,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Jefferson City,Jefferson City,MO,65109-6877,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Lake Ozark,Osage Beach,MO,65065-9677,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Saint Louis,Saint Louis,MO,63134-3701,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Fort Worth,Fort Worth,TX,76127-1188,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Salt Lake,Murray,UT,84107-5322,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Lake County,Gurnee,IL,60031-9184,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Naval Station Everett/Marysville,Marysville,WA,98271-7854,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Freeport,Freeport,IL,61032-9341,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Springfield,Springfield,MO,65804-4378,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Rolla,Rolla,MO,65401-1701,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Los Alamitos,Los Alamitos,CA,90720-5177,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Lemoore,NAS Lemoore,CA,93246-0001,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - San Luis Obispo,San Luis Obispo,CA,93403-8106,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Fort Stewart,Ft. Stewart,GA,31314-5056,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Hunter Army Airfield,Hunter Army Airfield,GA,31409-0029,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Elgin,Elgin,IL,60123-7193,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Hancock Field,Syracuse,NY,13211-2100,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Whidbey Island,Oak Harbor,WA,98278-1000,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Fort Drum,Ft. Drum,NY,13602-5203,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College -  Jacksonville,Jacksonville,FL,32216-6010,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Fort Sill,Fort Sill,OK,73503-9009,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - San Diego,San Diego,CA,92140-5290,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Mesquite,Dallas,TX,75217,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,34516.0,38689.0,43125.0
Columbia College - Waynesville,Waynesville,MO,65583-3449,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Columbia College - Naval Base San Diego,San Diego,CA,92136-5588,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Columbia College - Imperial,Imperial,CA,92251-0158,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Columbia College - NSB Kings Bay,Kings Bay,GA,31547-2532,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Columbia College - Waynesville,Waynesville,MO,65583-3449,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Columbia College - Minot AFB,Minot AFB,ND,78705,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Columbia College - Springfield TMobile,Springfield,MO,65803,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Columbia College - Eastfield Pleasant Grove,Dallas,TX,75217,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Columbia College - Fort Leonard Wood 58th Trans BN,Fort Leonard Wood,MO,65473,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Columbia College - USCG Base Honolulu,Honolulu,HI,96819-4398,2,nan,nan,8112.0,8112.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Columbia College - Tavares PD,Tavares,FL,32778-6100,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Evangel University - Assemblies of God Theological Seminary,Springfield,MO,65802,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33451.0,38587.0,42793.0
City College Montana State University Billings,Billings,MT,59102-9856,1,nan,nan,3896.0,8935.0,nan,nan,nan,nan,nan,nan,nan,34441.0,37660.0,40043.0
New Hampshire Institute for Therapeutic Arts,Harrison,ME,04040,3,nan,nan,nan,nan,10950.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
American Institute,Clifton,NJ,07011-2379,3,nan,nan,nan,nan,14020.0,nan,nan,nan,nan,nan,nan,22885.0,29321.0,28619.0
Monmouth University -  Monmouth Park Corporate Center,West Long Branch,NJ,07764-1898,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,51158.0,57102.0,59513.0
Bard College - Holyoke Microcollege,Holyoke,MA,01040-3927,2,nan,nan,12500.0,12500.0,nan,nan,nan,nan,nan,nan,nan,32377.0,41197.0,43441.0
Bard College - Coxsackie Correctional Facility,Coxsackie,NY,12051-0200,2,nan,nan,12500.0,12500.0,nan,nan,nan,nan,nan,nan,nan,32377.0,41197.0,43441.0
Bard College - Eastern NY Correctional Facility,Napanoch,NY,12458-0338,2,nan,nan,12500.0,12500.0,nan,nan,nan,nan,nan,nan,nan,32377.0,41197.0,43441.0
Bard College - Fishkill Correctional Facility,Beacon,NY,12508-0307,2,nan,nan,12500.0,12500.0,nan,nan,nan,nan,nan,nan,nan,32377.0,41197.0,43441.0
Bard College - Green Haven Correctional Facility,Stormville,NY,12582-0010,2,nan,nan,12500.0,12500.0,nan,nan,nan,nan,nan,nan,nan,32377.0,41197.0,43441.0
Bard College - Taconic Correctional Facility,Bedford Hill,NY,10507-2497,2,nan,nan,12500.0,12500.0,nan,nan,nan,nan,nan,nan,nan,32377.0,41197.0,43441.0
Bard College - Woodbourne Correctional Facility,Woodbourne,NY,12788-1000,2,nan,nan,12500.0,12500.0,nan,nan,nan,nan,nan,nan,nan,32377.0,41197.0,43441.0
Bard College - BHSEC Newark,Newark,NJ,07103-2639,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32377.0,41197.0,43441.0
Bard College - Brooklyn Public Library,Brooklyn,NY,11238-5619,2,nan,nan,12500.0,12500.0,nan,nan,nan,nan,nan,nan,nan,32377.0,41197.0,43441.0
Bard College - MAT Program CA,Los Angeles,CA,90010-1757,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32377.0,41197.0,43441.0
Berkeley College - Westchester Campus,White Plains,NY,10601,3,nan,nan,27000.0,27000.0,nan,nan,nan,nan,nan,nan,nan,36801.0,39282.0,46873.0
Bryant & Stratton College-Syracuse,Syracuse,NY,13203-2502,3,nan,nan,18018.0,18018.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bryant & Stratton College-Amherst,Getzville,NY,14068,3,nan,nan,17502.0,17502.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bryant & Stratton College-Southtowns,Orchard Park,NY,14127,3,nan,nan,17657.0,17657.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bryant & Stratton College-Henrietta,Rochester,NY,14623,3,nan,nan,17496.0,17496.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Culinary Institute of America at Greystone,St. Helena,CA,94574,2,nan,nan,34650.0,34650.0,nan,nan,nan,nan,nan,nan,nan,43122.0,45042.0,48424.0
Culinary Institute of America San Antonio,San Antonio,TX,78215,2,nan,nan,33910.0,33910.0,nan,nan,nan,nan,nan,nan,nan,43122.0,45042.0,48424.0
CUNY Brooklyn College - Feirstein Graduate School of Cinema,Brooklyn,NY,11205-1202,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jamestown Business College -,Salamanca,NY,14779-9740,3,nan,nan,12645.0,12645.0,nan,nan,nan,nan,nan,nan,nan,28056.0,29686.0,29143.0
NYSMedical&Dental Assistants - American Institute of Clinical Massage,Post Falls,ID,83854-8881,3,nan,nan,nan,nan,10390.0,nan,nan,nan,nan,nan,nan,33880.0,34652.0,35718.0
Pratt Manhattan-A Division of Pratt Institute,New York,NY,10011,2,nan,nan,53814.0,53814.0,nan,nan,nan,nan,nan,nan,nan,44537.0,46198.0,52211.0
Rabbinical Seminary of America-Ma'yan HaTorah,Richmond Hill,NY,11418,2,nan,nan,9900.0,9900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Saint Elizabeth College of Nursing,Utica,NY,13501,2,nan,nan,18570.0,23000.0,nan,nan,nan,nan,nan,nan,nan,63829.0,65638.0,73136.0
Saint John's University - Staten Island Campus,Staten Island,NY,10301-4496,2,nan,nan,32410.0,32410.0,nan,nan,nan,nan,nan,nan,nan,48321.0,57830.0,65736.0
Gaston College,Dallas,NC,28034-1499,1,nan,nan,2704.0,8848.0,nan,nan,nan,nan,nan,nan,nan,27347.0,29969.0,30512.0
Winston - Salem Barber School - Satellite,Greensboro,NC,27407-2754,3,nan,nan,nan,nan,10925.0,nan,nan,nan,nan,nan,nan,17353.0,13084.0,15478.0
Bryant & Stratton College-Akron,Copley,OH,44321-2798,3,nan,nan,19768.0,19768.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bryant & Stratton College-Solon,Solon,OH,44139-2798,3,nan,nan,18731.0,18731.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bryant & Stratton College-Cleveland,Cleveland,OH,44115-2798,3,nan,nan,18174.0,18174.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hebrew Union College-Jewish Institute of Religion-Cincinnati,Cincinnati,OH,45220-3796,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hebrew Union College-Jewish Institute of Religion-Los Angeles,Los Angeles,CA,90007-3796,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Kettering College - Ollie Davis Medical Arts and Education Center,Beavercreek,OH,45440-3442,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,53952.0,52829.0,58526.0
Mount Carmel College of Nursing - Fairfield,Lancaster,OH,43130-3372,2,nan,nan,14675.0,14675.0,nan,nan,nan,nan,nan,nan,nan,59077.0,59162.0,61074.0
Los Angeles Center,Los Angeles,CA,90045-1746,2,nan,nan,15686.0,15686.0,nan,nan,nan,nan,nan,nan,nan,57943.0,50439.0,57590.0
Florida Center,Hollywood,FL,33021-1746,2,nan,nan,15686.0,15686.0,nan,nan,nan,nan,nan,nan,nan,57943.0,50439.0,57590.0
Sacramento Center,Sacramento,CA,95834-1746,2,nan,nan,15686.0,15686.0,nan,nan,nan,nan,nan,nan,nan,57943.0,50439.0,57590.0
Winebrenner Theological Seminary -,Findlay,OH,45840,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
University of Oklahoma - Douglass Learning Center,Lawton,OK,73501-3025,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46766.0,53312.0,57071.0
University of Oklahoma - Ft. Benning GA - AP,Ft Benning,GA,31905-5593,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46766.0,53312.0,57071.0
University of Oklahoma - Nellis Air Force Base,Nellis AFB,NV,89191-6506,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Western Seminary-San Jose,Milpitas,CA,95035,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Western Seminary-Sacramento,Rocklin,CA,95765,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
The Beauty Institute,Philadelphia,PA,19115,3,nan,nan,nan,nan,17100.0,nan,nan,nan,nan,nan,nan,20479.0,25360.0,20333.0
Bucks County Community College-Upper Bucks Campus,Perkasie,PA,18944-0277,1,nan,nan,4538.0,13298.0,nan,nan,nan,nan,nan,nan,nan,35923.0,39834.0,44935.0
Bucks County Community College-Gene and Marlene Epstein Campus at Lower Bucks,Bristol,PA,19007-0277,1,nan,nan,4898.0,13298.0,nan,nan,nan,nan,nan,nan,nan,35923.0,39834.0,44935.0
Harrisburg Area Community College-Lancaster,Lancaster,PA,17602-3403,1,nan,nan,6758.0,9660.0,nan,nan,nan,nan,nan,nan,nan,32598.0,36205.0,39620.0
Harrisburg Area Community College-Gettysburg,Gettysburg,PA,17325-3403,1,nan,nan,6758.0,9660.0,nan,nan,nan,nan,nan,nan,nan,32598.0,36205.0,39620.0
Harrisburg Area Community College-Lebanon,Lebanon,PA,17042-5235,1,nan,nan,6758.0,9660.0,nan,nan,nan,nan,nan,nan,nan,32598.0,36205.0,39620.0
Harrisburg Area Community College-York,York,PA,17404-5235,1,nan,nan,6758.0,9660.0,nan,nan,nan,nan,nan,nan,nan,32598.0,36205.0,39620.0
New Castle School of Trades,Pulaski,PA,16143-2522,3,nan,nan,nan,nan,17676.0,nan,nan,nan,nan,nan,nan,35344.0,37738.0,42437.0
New Castle School of Trades - East Liverpool Campus,East Liverpool,OH,43920-3025,3,nan,nan,nan,nan,19260.0,nan,nan,nan,nan,nan,nan,35344.0,37738.0,42437.0
Northampton County Area Community College-Monroe,Tannersville,PA,18372,1,nan,nan,4710.0,14880.0,nan,nan,nan,nan,nan,nan,nan,31317.0,35108.0,37111.0
South Hills School of Business and Technology-Altoona,Altoona,PA,16602,3,nan,nan,18475.0,18475.0,nan,nan,nan,nan,nan,nan,nan,31447.0,31499.0,32008.0
Tennessee College of Applied Technology-Jacksboro -,Jacksboro,TN,37757,1,nan,nan,nan,nan,4699.0,nan,nan,nan,nan,nan,nan,28349.0,29796.0,31569.0
South College-Nashville,Nashville,TN,37214,3,nan,nan,16975.0,16975.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
South College-Atlanta,Atlanta,GA,30345-0000,3,nan,nan,16975.0,16975.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Austin Presbyterian Theological Seminary- YMCA Outdoor Center,Antioch,TN,37013-2791,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
San Jacinto College-North Campus,Houston,TX,77049-4599,1,nan,nan,1872.0,5040.0,nan,nan,nan,nan,nan,nan,nan,33702.0,38303.0,41371.0
San Jacinto College-South Campus,Houston,TX,77089-6099,1,nan,nan,1872.0,5040.0,nan,nan,nan,nan,nan,nan,nan,33702.0,38303.0,41371.0
San Jacinto Community College District - Generation Park Campus,Houston,TX,77044-0000,1,nan,nan,1872.0,5040.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Southwest School of Business and Technical Careers-South Texas,McAllen,TX,78501,3,nan,nan,nan,nan,14550.0,nan,nan,nan,nan,nan,nan,20400.0,20189.0,22673.0
Texas A & M University Health Science Center,Bryan,TX,77807,1,nan,nan,12783.0,39340.0,nan,nan,nan,nan,nan,nan,nan,54342.0,60186.0,66566.0
Snow College-Richfield Campus,Richfield,UT,84701,1,nan,nan,3912.0,13156.0,nan,nan,nan,nan,nan,nan,nan,31813.0,32369.0,37439.0
Northern Vermont University - Northern Essex Community College,Lawrence,MA,01841-2399,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31235.0,35303.0,40580.0
Northern Vermont University - Lyndon,Lyndonvile,VT,05851-0000,1,nan,nan,12804.0,26892.0,nan,nan,nan,nan,nan,nan,nan,31235.0,35303.0,40580.0
Bluefield College - Edward Via College of Osteopathic Medicine,Blacksburg,VA,24060-6832,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36293.0,41844.0,43825.0
Bryant & Stratton College-Richmond,North Chesterfield,VA,23235,3,nan,nan,16753.0,16753.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bryant & Stratton College-Hampton,Hampton,VA,23666,3,nan,nan,17463.0,17463.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Strayer University-Alexandria Campus,Alexandria,VA,22314,3,nan,nan,13515.0,13515.0,nan,nan,nan,nan,nan,nan,nan,30628.0,34329.0,43590.0
Strayer University-Woodbridge Campus,Woodbridge,VA,22192,3,nan,nan,13515.0,13515.0,nan,nan,nan,nan,nan,nan,nan,30628.0,34329.0,43590.0
Strayer University-Manassas Campus,Manassas,VA,20109,3,nan,nan,13515.0,13515.0,nan,nan,nan,nan,nan,nan,nan,30628.0,34329.0,43590.0
Strayer University-Loudoun Campus,Ashburn,VA,20147,3,nan,nan,13515.0,13515.0,nan,nan,nan,nan,nan,nan,nan,30628.0,34329.0,43590.0
Strayer University-Fredericksburg Campus,Fredericksburg,VA,22406,3,nan,nan,13515.0,13515.0,nan,nan,nan,nan,nan,nan,nan,30628.0,34329.0,43590.0
Strayer University-Henrico Campus,Glen Allen,VA,23059,3,nan,nan,13515.0,13515.0,nan,nan,nan,nan,nan,nan,nan,30628.0,34329.0,43590.0
Strayer University-Chesterfield Campus,Midlothian,VA,23113,3,nan,nan,13515.0,13515.0,nan,nan,nan,nan,nan,nan,nan,30628.0,34329.0,43590.0
Strayer University-Chesapeake Campus,Chesapeake,VA,23320,3,nan,nan,13515.0,13515.0,nan,nan,nan,nan,nan,nan,nan,30628.0,34329.0,43590.0
Strayer University-Newport News Campus,Newport News,VA,23602,3,nan,nan,13515.0,13515.0,nan,nan,nan,nan,nan,nan,nan,30628.0,34329.0,43590.0
Strayer University-Virginia Beach Campus,Virginia Beach,VA,23462,3,nan,nan,13515.0,13515.0,nan,nan,nan,nan,nan,nan,nan,30628.0,34329.0,43590.0
Union Presbyterian Seminary-Charlotte,Charlotte,NC,28210,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Washington State University-Vancouver,Vancouver,WA,98686-9600,1,nan,nan,10801.0,25744.0,nan,nan,nan,nan,nan,nan,nan,51093.0,56287.0,61080.0
Washington State University-Spokane,Spokane,WA,99202-9600,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,51093.0,56287.0,61080.0
Washington State University-Tri Cities,Richland,WA,99354-1671,1,nan,nan,11144.0,26087.0,nan,nan,nan,nan,nan,nan,nan,51093.0,56287.0,61080.0
NUC University - Arecibo,Arecibo,PR,00614,3,nan,nan,6675.0,6675.0,nan,nan,nan,nan,nan,nan,nan,20855.0,21139.0,20951.0
NUC University - Rio Grande,Rio Grande,PR,00745,3,nan,nan,6675.0,6675.0,nan,nan,nan,nan,nan,nan,nan,20855.0,21139.0,20951.0
NUC University - Ponce,Ponce,PR,00780,3,nan,nan,6675.0,6675.0,nan,nan,nan,nan,nan,nan,nan,20855.0,21139.0,20951.0
NUC University - Caguas,Caguas,PR,00726-0000,3,nan,nan,6675.0,6675.0,nan,nan,nan,nan,nan,nan,nan,20855.0,21139.0,20951.0
NUC University - Mayaguez,Mayaguez,PR,00680-0000,3,nan,nan,6675.0,6675.0,nan,nan,nan,nan,nan,nan,nan,20855.0,21139.0,20951.0
NUC University - Miami,Pembroke Pines,FL,33027-1767,3,nan,nan,6675.0,6675.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NUC University - Florida Technical College - Lakeland,Lakeland,FL,33813-2101,3,nan,nan,13175.0,13175.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NUC University - Florida Technical College - Deland,Deland,FL,32720-7415,3,nan,nan,13175.0,13175.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NUC University - Florida Technical College - Kissimmee,Kissimmee,FL,34741-0000,3,nan,nan,13175.0,13175.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NUC University - Florida Technical College - Pembroke Pines,Pembroke Pines,FL,33027-0000,3,nan,nan,13175.0,13175.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NUC University - Florida Technical College - Cutler Bay,Cutler Bay,FL,33189-1208,3,nan,nan,13175.0,13175.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NUC University - IBC Technical Division - Ponce,Ponce,PR,00717-5033,3,nan,nan,6675.0,6675.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NUC University - IBC Technical Division - Mayaguez,Mayaguez,PR,00680-1429,3,nan,nan,6675.0,6675.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NUC University - IBC Technical Division - Guayama,Guayama,PR,00784-9604,3,nan,nan,6675.0,6675.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NUC University - IBC Technical Division - Fajardo,Fajardo,PR,00738-0000,3,nan,nan,6675.0,6675.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NUC University - IBC Technical Division - Manati,Manati,PR,00674-0000,3,nan,nan,6675.0,6675.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NUC University - IBC Technical Division - Los Colobos,Carolina,PR,00983-0001,3,nan,nan,6675.0,6675.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NUC University - IBC Technical Division - Moca,Moca,PR,00676-0000,3,nan,nan,6675.0,6675.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NUC University - IBC Technical Division - Aguadilla,Aguadilla,PR,00603-0000,3,nan,nan,6675.0,6675.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NUC University - IBC Technical Division - Caguas,Caguas,PR,00726-0000,3,nan,nan,6675.0,6675.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NUC University - IBC Technical Division - Arecibo,Arecibo,PR,00612-0000,3,nan,nan,6675.0,6675.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NUC University - IBC Technical Division - Escorial,San Juan,PR,00928-0000,3,nan,nan,6675.0,6675.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NUC University - IBC Technical Division - Bayamon,Bayamon,PR,00961-0000,3,nan,nan,6675.0,6675.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NUC University - IBC Technical Division - Yauco,Yauco,PR,00698-0000,3,nan,nan,6675.0,6675.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NUC University - Florida Technical College - Orlando,Orlando,FL,32826-2707,3,nan,nan,13175.0,13175.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
University of the Virgin Islands-Albert A. Sheen,St. Croix,VI,00850,1,nan,nan,5235.0,13834.0,nan,nan,nan,nan,nan,nan,nan,28050.0,33951.0,37808.0
Purdue University - Purdue Polytechnic Anderson,Anderson,IN,46016,1,nan,nan,6518.0,15579.0,nan,nan,nan,nan,nan,nan,nan,54717.0,58904.0,65257.0
Purdue University - Purdue Polytechnic Indianapolis,Indianapolis,IN,46241,1,nan,nan,6342.0,6342.0,nan,nan,nan,nan,nan,nan,nan,54717.0,58904.0,65257.0
Purdue University - Purdue Polytechnic South Bend,South Bend,IN,46601,1,nan,nan,6895.0,18147.0,nan,nan,nan,nan,nan,nan,nan,54717.0,58904.0,65257.0
Purdue University - Purdue Polytechnic New Albany,New Albany,IN,47150,1,nan,nan,6895.0,18147.0,nan,nan,nan,nan,nan,nan,nan,54717.0,58904.0,65257.0
Purdue University - Purdue Polytechnic Columbus,Columbus,IN,47203,1,nan,nan,8578.0,27577.0,nan,nan,nan,nan,nan,nan,nan,54717.0,58904.0,65257.0
Purdue University - Purdue Polytechnic Kokomo,Kokomo,IN,46902,1,nan,nan,6895.0,18147.0,nan,nan,nan,nan,nan,nan,nan,54717.0,58904.0,65257.0
Purdue University - Purdue Polytechnic Richmond,Richmond,IN,47374,1,nan,nan,6895.0,18147.0,nan,nan,nan,nan,nan,nan,nan,54717.0,58904.0,65257.0
